Case,Array Size,Time (seconds)
Random,100,0
Sorted,100,0
Reverse-Sorted,100,0
Duplicate,100,0
Random,1000,0
Sorted,1000,0
Reverse-Sorted,1000,0.013579
Duplicate,1000,0
Random,10000,0.199276
Sorted,10000,0
Reverse-Sorted,10000,0.316102
Duplicate,10000,0
