Case,Array Size,Time (seconds)
Random,100,0
Sorted,100,0
Reverse-Sorted,100,0
Duplicate,100,0
Random,1000,0.012904
Sorted,1000,0.003013
Reverse-Sorted,1000,0
Duplicate,1000,0
Random,10000,0
Sorted,10000,0.334232
Reverse-Sorted,10000,0.241478
Duplicate,10000,0.149964
