Case,Array Size,Time (seconds)
Random,100,0
Sorted,100,0.000271
Reverse-Sorted,100,0
Duplicate,100,0
Random,1000,0
Sorted,1000,0
Reverse-Sorted,1000,0.001521
Duplicate,1000,0
Random,10000,0.007573
Sorted,10000,0.002404
Reverse-Sorted,10000,0.01048
Duplicate,10000,0.001742
